Timestamp,SensorValue
2025-07-18 23:34:47,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:49,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:51,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:53,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:55,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:57,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:59,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:01,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:03,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:05,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:07,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:09,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:11,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:13,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:15,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:17,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:19,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:21,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:23,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:25,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:27,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:29,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:32,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:34,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:36,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:38,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:40,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:42,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:44,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:46,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:48,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:50,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:52,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:54,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:35:56,Temperature: 27.60°C  |  Humidity: 73.00%
